Protein(g),Carbs(g),Fat(g),Diet_type_mediterranean,Diet_type_vegan,Cuisine_Group_Amerika,Cuisine_Group_Eropa,Cluster
20.35,123.04,29.02,0.0,1.0,1.0,0.0,0
35.95,114.25,28.959999999999997,0.0,1.0,1.0,0.0,0
85.42,292.08,91.47,0.0,1.0,1.0,0.0,0
33.28,101.9,2.99,0.0,1.0,1.0,0.0,0
50.83,249.54,90.69,0.0,1.0,1.0,0.0,0
14.32,122.56,31.660000000000004,0.0,1.0,1.0,0.0,0
41.97,142.86,18.91,0.0,1.0,1.0,0.0,0
55.62,193.4,143.75,0.0,1.0,1.0,0.0,0
29.69,49.33,16.42,0.0,1.0,1.0,0.0,0
44.2,231.62999999999997,39.97,0.0,1.0,1.0,0.0,0
82.16,393.23,137.8,0.0,1.0,0.0,1.0,1
44.65,114.84,53.56,0.0,1.0,1.0,0.0,0
70.39,99.61,130.81,0.0,1.0,1.0,0.0,0
99.51,308.46,48.72,0.0,1.0,1.0,0.0,0
52.57,234.70999999999998,59.349999999999994,0.0,1.0,1.0,0.0,0
170.52,351.7,94.17,0.0,1.0,1.0,0.0,0
52.1,233.64999999999998,50.050000000000004,0.0,1.0,1.0,0.0,0
4.73,38.99,18.82,0.0,1.0,1.0,0.0,0
0.56,3.29,0.06,0.0,1.0,1.0,0.0,0
23.83,282.81,103.33,0.0,1.0,1.0,0.0,0
119.7,385.64,191.84,0.0,1.0,1.0,0.0,0
68.31,177.32,70.78,0.0,1.0,1.0,0.0,0
89.72,304.98,67.7,0.0,1.0,1.0,0.0,0
8.87,112.76,41.16,0.0,1.0,1.0,0.0,0
33.25,115.79999999999998,63.11,0.0,1.0,1.0,0.0,0
18.8,76.81,117.06,0.0,1.0,1.0,0.0,0
42.13,167.98,24.93,0.0,1.0,1.0,0.0,0
60.73,188.21,18.76,0.0,1.0,1.0,0.0,0
47.45,189.36,70.33,0.0,1.0,1.0,0.0,0
15.23,304.34,67.71,0.0,1.0,1.0,0.0,0
136.34,428.83,53.51,0.0,1.0,1.0,0.0,0
113.81,338.17,38.43,0.0,1.0,1.0,0.0,0
39.03,348.34,75.65,0.0,1.0,1.0,0.0,0
33.34,42.56,46.01,0.0,1.0,1.0,0.0,0
14.9,111.97,50.97,0.0,1.0,1.0,0.0,0
52.94,121.02,76.27,0.0,1.0,1.0,0.0,0
0.46,2.66,0.12,0.0,1.0,1.0,0.0,0
47.43,319.17,232.71,0.0,1.0,0.0,1.0,1
26.36,279.82,58.72999999999999,0.0,1.0,1.0,0.0,0
50.04,300.89,48.65,0.0,1.0,1.0,0.0,0
71.06,54.84,66.08,0.0,1.0,1.0,0.0,0
2.49,135.45,25.779999999999998,0.0,1.0,1.0,0.0,0
0.92,79.66,27.609999999999996,0.0,1.0,1.0,0.0,0
36.09,114.15,126.25,0.0,1.0,1.0,0.0,0
